Common Name,Scientific Name,Population Name,Taxon Group,SARA Status,Final Recovery Document Date,Reassessment Date,Recovery Document Objectives,Species Data,Rationale,Are Trends Consistent With Objectives?
Allegheny Mountain Dusky Salamander,Desmognathus ochrophaeus,Carolinian population,Amphibian,Endangered,06/03/2019,01/04/2018,Safeguard existing populations and if feasible introduce to unoccupied habitat with aim of increasing population size by 50%.,Likely less than 100 mature individuals in 2 locations,Currently not possible to determine population trends for this species. ,Insufficient data to determine trends
Allegheny Mountain Dusky Salamander,Desmognathus ochrophaeus,Great Lakes/St. Lawrence population,Amphibian,Threatened,10/12/2014,01/04/2018,Maintain presence in each known occurrence.,Probably less than 1000 mature individuals.,Population trends cannot be determined from the available data.,Insufficient data to determine trends
Anticosti Aster,Symphyotrichum anticostense,,"Vascular plant, herb",Threatened,27/09/2012,01/04/2017,"Maintain the Canadian population at its current known size, distribution and area of occupancy.","The population is estimated at 410 000 to 1 063 000 stems, distributed in 18 subpopulations. The subpopulations appear to be stable.",Populations are stable,Yes
Athabasca Thrift,Armeria maritima ssp. Interior,,"Vascular plant, herb",Special Concern,18/12/2013,01/04/2018,Maintain current population density and area of occupancy.,Population estimated to be 1 080 000 to 9 360 000 individuals. Subspecies distributed in 3 distinct subpopulations in 3 separate dune fields. Potential decline in extent of occurrence based on forest ingress along western margins of William River dunes. Decline in habitat due to net conversion of open dune area to forest.,No information available to directly assess population trends,Insufficient data to determine trends
Atlantic Salmon,Salmo salar,Inner Bay of Fundy population,"Fish, marine",Endangered,04/05/2010,01/11/2010,"By 2015, conserve the genetic characteristics of the few remaining anadromous inner Bay of Fundy Atlantic salmon populations. Re-establish self-sustaining populations to their conservation levels in 10 river systems.","This population once bred in 32 rivers tributary to the inner Bay of Fundy; however, spawning no longer occurs in most rivers. The population, which is thought to have consisted of about 40 000 individuals earlier in the 20th century, is believed to have been fewer than 200 individuals in 2008. Survival through the marine phase of the species' life history is currently extremely poor, and the continued existence of this population depends on a captive rearing program.",Fewer than 200 mature individuals are left in the wild and the population is not self-sustaining.,No
Atlantic Walrus,Odobenus rosmarus rosmarus,Northwest Atlantic population,Mammal,Extirpated,26/02/2008,n/a,Not feasible,n/a,n/a,Not feasible
Atlantic Whitefish,Coregonus huntsmani,,"Fish, freshwater",Endangered,23/02/2007,09/06/2016,Achieve stability in the current population in Nova Scotia. Re-establish the anadromous (ocean-going) form. Increase the number and range of viable populations.,"Qualitative information indicates that the population has declined in recent decades and that abundance in the Petite Rivière watershed is low. This species, present in only a single location, is restricted to 3 interconnected lakes and a dam prevents access to the sea. The extent of occurrence has remained unchanged. Hatchery-reared fish have been released on an experimental basis and survival of hatchery fish in 1 lake has been confirmed in subsequent years.",Individuals have been introduced to suitable watersheds in order to expand the species' range.,Yes
Atlantic Wolffish,Anarhichas lupus,,"Fish, marine",Special Concern,27/02/2008,28/08/2013,Increase the population levels and distribution in eastern Canadian waters and ensure long-term viability of the species.,"The species has been increasing in abundance and area of occupancy since the mid-1990s. While these recent increases are encouraging, the species remains at low abundance compared to historical levels.",There are signs of population recovery.,Yes
Baikal Sedge,Carex sabulosa,,"Vascular plant, herb",Threatened,08/05/2012,01/04/2016,Maintain at least 11 of the known populations in Yukon. Prevent a decline in the extent of occurrence.,Population trends at all but the Carcross dune systems have probably remained roughly stable or declined slightly in recent years. Numbers have probably declined more substantially at the Carcross dunes. There is an observed continued decline in the extent of occurrence and number of locations.,"The number of mature individuals, the extent of occurrence and the number of locations have declined.",No
Banded Cord-moss,Entosthodon fascicularis,,Moss,Special Concern,11/08/2011,01/05/2015,Maintain known populations in British Columbia.,Population trends are unknown.,Population trends are unknown.,Insufficient data to determine trends
Banded Killifish,Fundulus diaphanus,Newfoundland population,"Fish, freshwater",Special Concern,25/05/2011,06/10/2016,Maintain existing population levels and distribution.,"No data are available with regard to population trends. A single population estimate, for the Indian Bay watershed site with 12 529 to 40 201 individuals, is the only abundance data available. Populations at Loch Leven and Freshwater Pond have been described as abundant. Although data are limited, there is no indication of decline in either the number of populations or abundance within populations.",Population appears to be stable. No indication of decline in either the number of populations or abundance within populations.,Yes
Banff Springs Snail,Physella johnsoni,,Mollusc,Endangered,14/02/2007,11/12/2017,"Restore self-sustaining snail populations and habitat within historic range, where and when possible. The Recovery Strategy was amended in Nov 2010. No changes were made to the recovery goals established in 2007.","These short-lived animals undergo natural annual fluctuations of over 2 orders of magnitude. There are no historical records of snail population levels. Reintroductions made in 2002 and 2003 appear to be self-sustaining. When the 2 reintroduced subpopulations are added to the original 5 populations, there is a significant increase in the population.",All subpopulations remain and appear stable but there seem to be an observed decline in total population.,Mixed evidence
Basking Shark,Cetorhinus maximus,Pacific population,"Fish, marine",Endangered,26/07/2011,13/09/2018,To see positive growth and promote the long-term viability of a naturally-producing population.,"The early historic and scientific record for Basking Sharks is limited but consistently describes the Pacific population of Basking Shark as abundant and widely spread, with a minimum historic population of 750 individuals off the coast of British Columbia. At present, Basking Sharks appear infrequently in Canadian Pacific waters. There were 36 confirmed or reliable Basking Shark sightings reported from 1996-2016.",Population trends are unknown.,Insufficient data to determine trends
Bearded Owl-clover,Triphysaria versicolor,,"Vascular plant, herb",Endangered,11/08/2006,01/11/2011,"Maintain or enhance the 7 existing populations, increasing smaller ones. Establish 1 experimental population with an average annual population size of at least 300 flowering individuals.","The estimated number of plants is between about 4000 and more than 100 000, reflecting the difficulty of estimating population sizes for this species. The number of plants varies from year to year and trends cannot be determined.","Due to a lack of reliable counts and the sizeable fluctuations in the number of mature individuals, current population trends cannot be determined.",Insufficient data to determine trends
Bear's-foot Sanicle,Sanicula arctopoides,,"Vascular Plant, Herb",Threatened,11/08/2006,01/11/2015,Maintain all 8 existing populations or subpopulations at no less than their current levels of abundance. Restore at least 2 extirpated populations or establish at least 2 new populations.,"When assessed in 2015, the population was estimated at about 2 900 mature individuals in 9 extant subpopulations. Only 1 subpopulation is large. Habitat information suggests there has probably been a decline. The subpopulation at Cattle Point has been lost since 2001.",There has probably been a decline in the size of the total population. One subpopulation has been lost.,No
Beluga Whale,Delphinapterus leucas,St. Lawrence Estuary population,Mammal,Endangered,27/03/2012,01/11/2014,"Increase the population size to 7070 individuals, or 70% of its historical size.","Since the early 2000s, the population has declined slowly, with an estimated total population of 889 in 2012. The population has declined by 12.6% in the last 10 years. Reasons for this decline are not understood.",The population has been declining and reasons for this decline are not understood.,No
Black-footed Ferret,Mustela nigripes,,Mammal,Extirpated,19/06/2009,14/03/2018,Establish a wild population of black-footed ferrets that has at least an 80 percent probability of persisting for 20 years.,"The species was reintroduced to Grassland National Park in 2009, with subsequent releases in 2010-2012. Although the reintroduction demonstrated many successes, a concurrent decline observed in the Black-tailed Prairie Dog population as a result of unknown factors led to the suspension of releases in 2013.",Reintroduction demonstrated many successes.,Yes
