Commmon Name,Scientific name,Population,Taxon,Range,COSEWIC status,On Schedule 1 (Yes/No)?,SARA status,Action plan (Y/N/Proposed),Year,Multispecies?,Cost (per year),Number of species,Recovery measure,Action,RM,Both,Priority,Status and timeline,Partners,Terrestrial,Aquatic ,Threat or objective addressed,Multispecies Quality Control
Acadian Flycatcher,Empidonax virescens,,Birds,Ontario,Endangered,Schedule 1,Endangered,Y,2016,Y,0,67, Indigenous Traditional Knowledge: Engage the Caldwell First Nation and the Walpole Island First Nation to collaboratively develop and implement methods to meaningfully incorporate ATK into management practices for SAR at PPNP and NNHS.,,,1,0,Ongoing,,1,0,Increased engagement and incorporation of ATK into management practices for SAR.,1
Acadian Flycatcher,Empidonax virescens,,Birds,Ontario,Endangered,Schedule 1,Endangered,Y,2016,Y,0,67,"Manage Rare Bird Sightings: Migate visitor disturbance to migrating individuals or nesting SAR birds at PPNP, communication, area closures, and patrols to promote compliance. ",1,,,0,Ongoing,,1,0,Protect Individuals from harassment ,1
Acadian Redfish,Sebastes fasciatus,Atlantic population,Fishes (marine),Atlantic Ocean,Threatened,No schedule,No Status,N,,,,,,,,,,,,,,,
Acadian Redfish,Sebastes fasciatus,Bonne Bay population,Fishes (marine),Atlantic Ocean,Special Concern,No schedule,No Status,N,,,,,,,,,,,,,,,
Acuteleaf Small Limestone Moss,Seligeria acutifolia,,Mosses,British Columbia,Endangered,No schedule,No Status,N,,,,,,,,,,,,,,,
Alaskan Brook Lamprey,Lethenteron alaskense,,Fishes (freshwater),Northwest Territories,Data Deficient,No schedule,No Status,N,,,,,,,,,,,,,,,
Alkaline Wing-nerved Moss,Pterygoneurum kozlovii,,Mosses,"British Columbia, Saskatchewan",Threatened,Schedule 1,Threatened,N,,,,,,,,,,,,,,,
Allegheny Mountain Dusky Salamander,Desmognathus ochrophaeus,Appalachian population,Amphibians,Quebec,Endangered,Schedule 1,Threatened,N,,,,,,,,,,,,,,,
Allegheny Mountain Dusky Salamander,Desmognathus ochrophaeus,Carolinian population,Amphibians,Ontario,Endangered,Schedule 1,Endangered,N,,,,,,,,,,,,,,,
Allegheny Mountain Dusky Salamander,Desmognathus ochrophaeus,,Amphibians,Quebec,Non-active,No schedule,No Status,N,,,,,,,,,,,,,,,
American Badger,Taxidea taxus,,Mammals (terrestrial),"British Columbia, Alberta, Saskatchewan, Manitoba, Ontario",Non-active,No schedule,No Status,N,,,,,,,,,,,,,,,
American Badger jacksoni subspecies,Taxidea taxus  jacksoni,,Mammals (terrestrial),Ontario,Endangered,Schedule 1,Endangered,N,,,,,,,,,,,,,,,
American Badger jeffersonii subspecies,Taxidea taxus  jeffersonii,Eastern population,Mammals (terrestrial),British Columbia,Endangered,Schedule 1,Endangered,N,,,,,,,,,,,,,,,
American Badger jeffersonii subspecies,Taxidea taxus  jeffersonii,Western population,Mammals (terrestrial),British Columbia,Endangered,Schedule 1,Endangered,N,,,,,,,,,,,,,,,
American Badger jeffersonii subspecies,Taxidea taxus  jeffersonii,,Mammals (terrestrial),British Columbia,Non-active,No schedule,Endangered,Y,2017,Y,0,5,"1. Explore the interests of various Indigenous communities in SAR education and recovery. 2. Collaborate with interested communities on outreach, education and visitor experience actions in mutually agreed upon ways.",0,0,1,0,As opportunities arise.,0,1,0,This will be specific to the species and type of action.,1
American Badger jeffersonii subspecies,Taxidea taxus  jeffersonii,,Mammals (terrestrial),British Columbia,Non-active,No schedule,Endangered,Y,2017,Y,0,5,"Acquire data on species distribution and habitat use to fill knowledge gaps in order to increase efficacy of conservation and recovery actions. Data will be acquired through research and monitoring, and by promoting the reporting of observations by park staff, stakeholders, and visitors.",0,1,0,0,On-going. SOPR – 2019 PMP - 2020,0,1,0,All.,1
American Badger jeffersonii subspecies,Taxidea taxus  jeffersonii,,Mammals (terrestrial),British Columbia,Non-active,No schedule,Endangered,Y,2017,Y,0,5,Collaborate with provincial agencies to protect potential habitat for species dispersal.,1,0,0,0,Ongoing,0,1,0,Natural system modifications; habitat loss.,1
American Badger jeffersonii subspecies,Taxidea taxus  jeffersonii,,Mammals (terrestrial),British Columbia,Non-active,No schedule,Endangered,Y,2017,Y,0,5,Encourage badger occupancy through habitat restoration and human use management.,1,0,0,0,Ongoing,0,1,0,Natural system modifications - forest ingrowth and encroachment.,1
American Badger jeffersonii subspecies,Taxidea taxus  jeffersonii,,Mammals (terrestrial),British Columbia,Non-active,No schedule,Endangered,Y,2017,Y,0,5,"Increase general awareness about species at risk that are found in the park, through interpretive programming, targeted communications, and outreach.",1,0,0,0,Ongoing,0,1,0,"Promotes general awareness of species at risk, recovery efforts, and steps that can be taken to contribute to recovery.",1
American Badger jeffersonii subspecies,Taxidea taxus  jeffersonii,,Mammals (terrestrial),British Columbia,Non-active,No schedule,Endangered,Y,2017,Y,0,5,"Maintain or increase law enforcement patrols to prevent disturbance, destruction or removal of species at risk and their habitats.",1,0,0,0,Ongoing,0,1,0,Disturbance or harm; habitat loss.,1
American Badger jeffersonii subspecies,Taxidea taxus  jeffersonii,,Mammals (terrestrial),British Columbia,Non-active,No schedule,Endangered,Y,2017,Y,0,5,Mitigate human-caused mortality,1,0,0,0,Ongoing,0,1,0,Human intrusions and disturbance; recreational activities.,1
American Badger jeffersonii subspecies,Taxidea taxus  jeffersonii,,Mammals (terrestrial),British Columbia,Non-active,No schedule,Endangered,Y,2017,Y,0,5,"Provide timely and effective species-specific communications to target audiences to disseminate knowledge, enhance understanding, and ensure compliance with SARA requirements.",1,0,0,0,First 5 years,0,1,0,Human disturbance; habitat loss or degradation; accidental mortality.,1
American Badger jeffersonii subspecies,Taxidea taxus  jeffersonii,,Mammals (terrestrial),British Columbia,Non-active,No schedule,Endangered,Y,2017,Y,0,5,Strengthen species at risk recovery by working with Indigenous communities to incorporate traditional knowledge into SAR understanding.,0,0,1,0,As opportunities arise.,0,1,0,This will be specific to the particular knowledge gap,1
American Badger jeffersonii subspecies,Taxidea taxus  jeffersonii,,Mammals (terrestrial),British Columbia,Non-active,No schedule,Endangered,Y,2017,Y,0,5,"Work with adjacent land management agencies, conservation scientists, and others to improve understanding and knowledge of populations of species at risk, and to increase the level of recovery of species occurring across park boundaries within multiple jurisdictions throughout the species’ range.",0,0,1,0,Ongoing,0,1,0,All. ,1
American Badger taxus subspecies,Taxidea taxus  taxus,,Mammals (terrestrial),"Alberta, Saskatchewan, Manitoba, Ontario",Special Concern,Schedule 1,Special Concern,N,,,,,,,,,,,,,,,
American Black Bear,Ursus americanus,,Mammals (terrestrial),"British Columbia, Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Not at Risk,No schedule,No Status,Y,2016,Y,0,41,Engage the SON to collaboratively develop and implement methods to meaningfully incorporate ATK into management practices for SAR at BPNP & FFNMP. ,0,0,1,0,Ongoing,,1,0,Several recovery documents note the importance and utility of including ATK in recovery strategies ,1
