Common Name,Scientific Name,Population Name,Taxon Group,SARA Status,Range,Current State,Threats,Main Threat,Endemic,Full Pop Plan,NP plan,Multispecies plan,Name of NP/MS Plan
Acadian Flycatcher,Empidonax virescens,,Bird,Endangered,Ontario,Action Plan,"1.1, 2.1, 5.3",5.3,No,No,1,,Multi-species Action Plan for Point Pelee National Park of Canada and Niagara National Historic Sites of Canada
Allegheny Mountain Dusky Salamander,Desmognathus ochrophaeus,Carolinian population,Amphibian,Endangered,Ontario,Recovery Strategy,"7.2, 9.1, 9.2, 11.1","7.2, 11.1",No,Yes,,,
Allegheny Mountain Dusky Salamander,Desmognathus ochrophaeus,Great Lakes/St. Lawrence population,Amphibian,Threatened,Quebec,Recovery Strategy,"7.2, 9.1, 9.2, 11.1","7.2, 11.1",No,Yes,,,
American Ginseng,Panax quinquefolius,,Plant,Endangered,"Ontario, Quebec",Action Plan,"1.1, 2.1, 5.3, 8.3","1.1, 2.1, 5.3",No,No,1,,Multi-species Action Plan for Thousand Islands National Park
American Marten,Martes americana atrata,Newfoundland population,Mammal,Threatened,Newfoundland and Labrador,Action Plan,"5.1, 5.3, 6.1, 7.3, 8.2","5.1, 5.3",Yes,No,1,,"Multi-species Action Plan for Gros Morne National Park, Multi-species Action Plan for Terra Nova National Park of Canada and the National Historic Sites of Canada in Eastern Newfoundland"
American Water-willow,Justicia americana,,Plant,Threatened,"Ontario, Quebec",Action Plan,"1.1, 1.2, 6.1, 9.2",,No,No,,,
Ancient Murrelet,Synthliboramphus antiquus,,Bird,Special Concern,"British Columbia, Pacific Ocean",Action Plan,"6.1, 8.1, 9.2",,No,No,,,
Anticosti Aster,Symphyotrichum anticostense,,Plant,Threatened,"Quebec, New Brunswick",Recovery Strategy,"6.1, 7.2, 8.1, 8.2 ",,Yes,Yes,,,
Athabasca Thrift,Armeria maritima ssp. Interior,,Plant,Special Concern,Saskatchewan,Management Plan,"1.2, 1.3, 3.2, 6.1",,Yes,No,,,
Atlantic Salmon,Salmo salar,Inner Bay of Fundy population,Fish,Endangered,"New Brunswick, Nova Scotia, Atlantic Ocean",Action Plan,"2.4, 5.4, 9.1",,No,Yes,,,
Atlantic Walrus,Odobenus rosmarus rosmarus,Northwest Atlantic population,Mammal,Extirpated,"New Brunswick, Newfoundland and Labrador, Nova Scotia, Prince Edward Island, Quebec, Atlantic Ocean",Unknown,"4.3, 9.2",,No,No,,,
Atlantic Whitefish,Coregonus huntsmani,,Fish,Endangered,Nova Scotia,Action Plan,"5.4, 7.2, 8.2",,Yes,Yes,,,
Atlantic Wolffish,Anarhichas lupus,,Fish,Special Concern,"Arctic Ocean, Atlantic Ocean",Management Plan,5.4,,No,No,,,
Baikal Sedge,Carex sabulosa,,Plant,Threatened,Yukon,Recovery Strategy,"1.1, 1.3, 6.1, 7.1, 7.3",,No,Yes,,,
Banded Cord-moss,Entosthodon fascicularis,,Moss,Special Concern,British Columbia,Management Plan,"4.1, 6.1, 11.2",,No,Yes,,,
Banded Killifish,Fundulus diaphanus,Newfoundland population,Fish,Special Concern,Newfoundland and Labrador,Management Plan,9.3,,No,No,,,
Band-tailed Pigeon,Patagioenas fasciata,,Bird,Special Concern,British Columbia,Action Plan,"1.1, 1.2, 8.1, 9.2, 9.3",,No,No,,,
Banff Springs Snail,Physella johnsoni,,Mollusc,Endangered,Alberta,Action Plan,"6.1, 7.2, 9, 11.1",,Yes,Yes,,,
Barrens Willow,Salix jejuna,,Plant,Endangered,Newfoundland and Labrador,Action Plan,"3.2, 4.1, 5.4, 6.1, 11.4"," 3.2, 4.1, 6.1, 11.4",Yes,Yes,,,
Barrow’s Goldeneye,Bucephala islandica,Eastern population,Bird,Special Concern,"Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Action Plan,"5.1, 5.3, 7.3, 9.2","5.1, 9.2",No,No,,,
Basking Shark,Cetorhinus maximus,Pacific population,Fish,Endangered,Pacific Ocean,Action Plan,"4.3, 5.4",,No,No,,,
Beach Pinweed,Lechea maritima,,Plant,Special Concern,"New Brunswick, Prince Edward Island",Action Plan,"6.1, 11.1, 11.4",,No,No,,,
Bearded Owl-clover,Triphysaria versicolor,,Plant,Endangered,British Columbia,Recovery Strategy,"1.1, 8.2, 11.1",,No,No,,,
Bear's-foot Sanicle,Sanicula arctopoides,,Plant,Endangered,British Columbia,Recovery Strategy,"6.1, 8.1, 8.2",,No,No,,,
Beluga Whale,Delphinapterus leucas,St. Lawrence Estuary population,Mammal,Endangered,"Quebec, Atlantic Ocean",Action Plan,"6.1, 7.2, 8.2, 9.6, 11",,No,Yes,,,
Black-footed Albatross,Phoebastria nigripes,,Bird,Special Concern,Pacific Ocean,Action Plan,"5.1, 5.4, 8.1, 9.2, 11",5.4,No,No,,,
Black-footed Ferret,Mustela nigripes,,Mammal,Extirpated,"Alberta, Saskatchewan",Action Plan,8.2,,No,No,,,
Blackstripe Topminnow,Fundulus notatus,,Fish,Special Concern,Ontario,Management Plan,"7.2, 9.2",,No,No,,,
Black-tailed Prairie Dog,Cynomys ludovicianus,,Mammal,Threatened,Saskatchewan,Action Plan,"8.2, 11.2",,No,No,,,
Blanchard's Cricket Frog,Acris blanchardi,,Amphibian,Endangered,Ontario,Recovery Strategy,"7.2, 9.3, 11.4",,No,Yes,,,
Blanding's Turtle,Emydoidea blandingii,Great Lakes / St. Lawrence population,Reptile,Threatened,"Ontario, Quebec",Action Plan,"4.1, 5.1, 7.2, 8.1","4.1, 5.1, 7.2, 8.1",No,No,,,
Blanding's Turtle,Emydoidea blandingii,Nova Scotia population,Reptile,Endangered,Nova Scotia,Action Plan,"4.1, 5.1, 7.2, 8.1","4.1, 5.1, 7.2, 8.1",No,No,,,
Blue Ash,Fraxinus quadrangulata,,Plant,Special Concern,Ontario,Action Plan,"2.3, 6.1, 7.1, 7.2, 8.1, 8.2",,No,No,,,
Blue Whale,Balaenoptera musculus,Northwest Atlantic population,Mammal,Endangered,Atlantic Ocean,Action Plan,"4.3, 5.4, 6.1, 9.2",,No,Yes,,,
Blue Whale,Balaenoptera musculus,Pacific population,Mammal,Endangered,Pacific Ocean,Action Plan,"4.3, 5.4, 6.1, 9.2",,No,No,,,
Bluntnose Sixgill Shark,Hexanchus griseus,,Fish,Special Concern,Pacific Ocean,Action Plan,5.4,,No,No,,,
Bolander's Quillwort,Isoetes bolanderi,,Plant,Threatened,Alberta,Action Plan,"6.1, 7.1, 9.2",,No,Yes,,,
Boreal Felt Lichen,Erioderma pedicellatum,Atlantic population,Lichen,Endangered,"New Brunswick, Nova Scotia",Action Plan,"5.3, 9.5",,No,No,,,
Boreal Felt Lichen,Erioderma pedicellatum,Boreal population,Lichen,Special Concern,Newfoundland and Labrador,Management Plan,"5.3, 9.5",,Yes,No,,,
Bridle Shiner,Notropis bifrenatus,,Fish,Special Concern,"Ontario, Quebec",Action Plan,"7.2, 8.1",,No,No,,,
Brook Spike-primrose,Epilobium torreyi,,Plant,Endangered,British Columbia,Recovery Strategy,"1.1, 2.1, 6.3, 8.1, 8.2",,No,Yes,,,
Buffalograss,Bouteloua dactyloides,,Plant,Threatened,"Saskatchewan, Manitoba",Recovery Strategy,"3.2, 4.1, 7.1, 7.2, 8.1",,No,Yes,,,
Burrowing Owl,Athene cunicularia,,Bird,Endangered,"British Columbia, Alberta, Saskatchewan, Manitoba",Action Plan,"2.1, 3.3, 4.1, 11.1, 11.4",,No,No,,,
Butternut,Juglans cinerea,,Plant,Endangered,"Ontario, Quebec, New Brunswick",Action Plan,"5.3, 7.3, 8.1",8.1,No,No,,,
Canada Warbler,Wilsonia canadensis,,Bird,Threatened,"Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia",Action Plan,"2.1, 4.1, 5.3, 6.3, 7.2",,No,No,,,
Carmine Shiner,Notropis percobromus,,Fish,Threatened,Manitoba,Action Plan,7.2,,No,Yes,,,
Cerulean Warbler,Dendroica cerulea,,Bird,Endangered,"Ontario, Quebec",Action Plan,"2.1, 5.3, 8.1, 8.2, 11.4",,No,No,,,
Channel Darter,Percina copelandi,St. Lawrence populations,Fish,Special Concern,"Ontario, Quebec",Action Plan,"7.2, 8.1, 9.3",8.1,No,No,,,
Chestnut-collared Longspur,Calcarius ornatus,,Bird,Threatened,"Alberta, Saskatchewan, Manitoba",Action Plan,"2.3, 3.1, 4.1, 7.3","2.3, 4.1",No,No,,,
Chimney Swift,Chaetura pelagica,,Bird,Threatened,"Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia, Newfoundland and Labrador",Action Plan,"5.3, 7.1, 7.3, 11.4","5.3, 7.3",No,No,,,
Climbing Prairie Rose,Rosa setigera,,Plant,Special Concern,Ontario,Action Plan,"1.1, 6.1, 8.1",,No,No,,,
Coastrange Sculpin,Cottus aleuticus,Cultus population,Fish,Threatened,British Columbia,Action Plan,"1.1, 6.1, 7.2, 8.1, 9, 11",,Yes,Yes,,,
Columbia Sculpin,Cottus hubbsi,,Fish,Special Concern,British Columbia,Management Plan,"7.2, 9.1, 9.3",,No,Yes,,,
Columbian Carpet Moss,Bryoerythrophyllum columbianum,,Moss,Special Concern,British Columbia,Management Plan,"2.1, 8.2",,No,No,,,
Common Hoptree,Ptelea trifoliata,,Plant,Special Concern,Ontario,Action Plan,"1.1, 7.3, 11.1",,No,No,,,
Common Nighthawk,Chordeiles minor,,Bird,Threatened,"Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Action Plan,"1.1, 2.1, 4.1, 7.1, 7.3, 11.1",,No,No,,,
Contorted-pod Evening-primrose,Camissonia contorta,,Plant,Endangered,British Columbia,Action Plan,"6.1, 8.1",6.1,No,No,,,
Copper Redhorse,Moxostoma hubbsi,,Fish,Endangered,Quebec,Recovery Strategy,"1.1, 2.1, 6.1, 7.2, 9.3",,Yes,Yes,,,
Cryptic Paw Lichen,Nephroma occultum,,Lichen,Special Concern,British Columbia,Management Plan,5.3,,No,Yes,,,
Cucumber Tree,Magnolia acuminata,,Plant,Endangered,Ontario,Action Plan,"2.1, 5.3",,No,Yes,,,
Dakota Skipper,Hesperia dacotae,,Arthropod,Threatened,"Saskatchewan, Manitoba",Recovery Strategy,"2.3, 7.1, 11.4",,No,Yes,,,
Deepwater Sculpin,Myoxocephalus thompsonii,Great Lakes - Western St. Lawrence populations,Fish,Special Concern,"Ontario, Quebec",Action Plan,"8.1, 9.1, 9.3, 11.3",,No,No,,,
Deerberry,Vaccinium stamineum,,Plant,Threatened,Ontario,Action Plan,"6.1, 7.1",,No,No,,,
Deltoid Balsamroot,Balsamorhiza deltoidea,,Plant,Endangered,British Columbia,Action Plan,"1.1, 5.2, 6.1, 8.1","1.1, 8.1",No,No,,,
Dromedary Jumping-slug,Hemphillia dromedarius,,Mollusc,Threatened,British Columbia,Action Plan,"5.3, 7.3, 8.1",,No,No,,,
Dwarf Hackberry,Celtis tenuifolia,,Plant,Threatened,Ontario,Action Plan,"3.2, 8.2",3.2,No,No,,,
Dwarf Lake Iris,Iris lacustris,,Plant,Special Concern,Ontario,Action Plan,"1.3, 4.1, 6.1, 7.1",,No,No,,,
Dwarf Wedgemussel,Alasmidonta heterodon,,Mollusc,Extirpated,New Brunswick,Recovery Strategy,"7.2, 9.2, 9.3",,No,Yes,,,
Eastern Flowering Dogwood,Cornus florida,,Plant,Endangered,Ontario,Action Plan,"2.1, 8.1",8.1,No,No,,,
Eastern Foxsnake,Pantherophis gloydi,Carolinian population,Reptile,Endangered,Ontario,Action Plan,"1.1, 2.1, 4.1, 5.1, 6.1, 9.1","1.1, 4.1",Yes,No,,,
Eastern Foxsnake,Pantherophis gloydi,Great Lakes / St. Lawrence population,Reptile,Endangered,Ontario,Action Plan,"1.1, 2.1, 4.1, 5.1, 6.1, 9.1","1.1, 4.1",Yes,No,,,
Eastern Hog-nosed Snake,Heterodon platirhinos,,Reptile,Threatened,Ontario,Action Plan,"1.1, 2.1, 4.1, 5.1",,No,No,,,
Eastern Milksnake,Lampropeltis triangulum,,Reptile,Special Concern,"Ontario, Quebec",Action Plan,"1.1, 2.1, 4.1, 5.1, 8.2",,No,No,,,
Eastern Mole,Scalopus aquaticus,,Mammal,Special Concern,Ontario,Action Plan,"1.1, 2.1",,No,No,,,
Eastern Mountain Avens,Geum peckii,,Plant,Endangered,Nova Scotia,Action Plan,"1.1, 1.3, 4.1, 7.3, 8.2","4.1, 7.3, 8.2",No,Yes,,,
Eastern Musk Turtle,Sternotherus odoratus,,Reptile,Special Concern,"Ontario, Quebec",Action Plan,"1.1, 5.4, 7.2","1.1, 5.4, 7.2",No,No,,,
Eastern Pondmussel,Ligumia nasuta,,Mollusc,Special Concern,Ontario,Action Plan,"8.1, 9.1, 9.2, 9.3",,No,No,,,
Eastern Prairie Fringed-orchid,Platanthera leucophaea,,Plant,Endangered,Ontario,Action Plan,"2.1, 5.2, 7.2, 8.1",2.1,No,No,,,
Eastern Prickly Pear Cactus,Opuntia humifusa,,Plant,Endangered,Ontario,Action Plan,"2.1, 2.2, 5.2, 5.3, 6.1, 7.3, 9.3, 11.4","2.1, 2.2, 5.3, 6.1, 11.4",No,No,,,
Eastern Ribbonsnake,Thamnophis sauritus,Atlantic population,Reptile,Threatened,Nova Scotia,Action Plan,"1.1, 4.1, 5.1, 8.2",,No,No,,,
Eastern Ribbonsnake,Thamnophis sauritus,Great Lakes population,Reptile,Special Concern,"Ontario, Quebec",Action Plan,"1.1, 4.1, 6.1, 8.1, 8.2",,No,No,,,
Eastern Sand Darter,Ammocrypta pellucida,Ontario populations,Fish,Threatened,Ontario,Action Plan,"1.1, 2.1, 7.2, 8.1",,No,No,,,
Eastern Sand Darter,Ammocrypta pellucida,Quebec populations,Fish,Threatened,Quebec,Recovery Strategy,"5.4, 6.1, 9.3",,No,No,,,
Eastern Whip-poor-will,Antrostomus vociferus,,Bird,Threatened,"Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia",Action Plan,"4.1, 7.3, 8.2, 11",,No,No,,,
Eastern Yellow-bellied Racer,Coluber constrictor flaviventris,,Reptile,Threatened,"Alberta, Saskatchewan",Action Plan,4.1,,No,No,,,
Edwards’ Beach Moth,Anarta edwardsii,,Arthropod,Endangered,British Columbia,Action Plan,"8.1, 11.1, 11.4",,No,No,,,
Enos Lake Benthic Threespine Stickleback,Gasterosteus aculeatus,,Fish,Endangered,British Columbia,Recovery Strategy,"7.2, 8.1",,Yes,No,,,
